Model,CV Mean,CV Std,Test Acc,Precision (Macro),Recall (Macro),F1 (Macro),Precision (Weighted),Recall (Weighted),F1 (Weighted),ROC-AUC (Macro),MSE,RMSE,R²,Peak Memory (MB),n_basis,k_features,n_basis_time (s),spline_feature_time (s),total_spline_time (s)
Logistic Regression,0.8886254624049214,0.019542038242379933,0.8046795523906409,0.8089311996467546,0.8007358396678869,0.8008182097133866,0.8126582515749036,0.8046795523906409,0.8046685749152772,0.97261806817719,0.4669379450661241,0.6833285776741114,0.8464212021841555,62.38799858093262,14,88,1.651930809020996,0.3046839237213135,1.9566147327423096
Random Forest,0.9126987821605221,0.014200235245218363,0.7934893184130214,0.8010741470141777,0.7886609579724967,0.792556246755075,0.8018826524650707,0.7934893184130214,0.7955355995653747,0.968192467596526,0.301119023397762,0.5487431306155568,0.9009600780969718,62.38799858093262,14,88,1.651930809020996,0.3046839237213135,1.9566147327423096
SVM (RBF),0.9273801903653519,0.010740527829705344,0.8880976602238047,0.8882396666228017,0.8872446323092432,0.8865703191636011,0.8896167262851752,0.8880976602238047,0.8877180849099537,0.9851581909761776,0.1607324516785351,0.4009145191665364,0.9471340957409512,62.38799858093262,14,88,1.651930809020996,0.3046839237213135,1.9566147327423096
