Class,AUC
WALKING,0.9737137042662694
WALKING_UP,0.9918742405832321
WALKING_DOWN,0.9905980428927
SITTING,0.9741883580698035
STANDING,0.9805748000450603
LAYING,1.0
Macro Average,0.9851581909761776
